Erhebungsmonat;Preissubsystem;Schemanummer;PMS;EP;Laufnummer;Preis_T;Menge_T;Preis_VPK;Menge_VPK;BC;Aktionscode;Ausverkauf;Text;Artikelnummer;Sonderpreis;Fehlende_Preise_R;BemerkungenMitHistorie;Tablet_Informationen;Preis_vor_Reduktion;Menge_vor_Reduktion;Ist_Preisreihe_zu_beenden;"DynamischesFeld1;DynamischesFeld2;DynamischesFeld3;DynamischesFeld4;DynamischesFeld5"
01.12.2016;2;0;7019;5214;2;8.95;4;;;;0;0;Batterien;4.093.303;0;;;zeitPos=1|sortNr=35;8.95;4;0;";;;;"
01.12.2016;2;0;7019;5214;3;7.95;4;;;;0;0;Batterien;4.093.333;0;;;zeitPos=1|sortNr=34;7.95;4;0;";;;;"
01.12.2016;2;0;7019;5215;4;6.6;100;;;;0;0;Eisenwaren fürs Haus;3.809.350;0;;;zeitPos=1|sortNr=16;6.6;100;0;";;;;"
01.12.2016;2;0;7019;5215;5;4.1;10;;;;0;0;Eisenwaren fürs Haus;3.909.514 (0505)blau;0;;;zeitPos=1|sortNr=17;4.1;10;0;";;;;"
01.12.2016;2;0;7019;5217;2;65.95;1;;;;0;0;Badzubehör;4.370.841;0;;;zeitPos=1|sortNr=40;65.95;1;0;";;;;"
01.12.2016;2;0;7019;5217;3;65.95;1;;;;0;0;Badzubehör;3.221.790;0;;;zeitPos=1|sortNr=41;65.95;1;0;";;;;"
01.12.2016;2;0;7019;5269;1;3.5;1;;;;0;0;Einkaufstasche;;0;;;zeitPos=1|sortNr=1;3.5;1;0;";;;;"
01.12.2016;2;0;7019;9371;2;11.95;1;;;;0;0;Pflanzengefässe und -töpfe;3.250.961;0;;;zeitPos=1|sortNr=77;11.95;1;0;";;;;"
01.12.2016;2;0;7019;9546;1;20.9;1;;;;0;0;Land- und Strassenkarten;3.420.617;0;;;zeitPos=1|sortNr=4;20.9;1;0;";;;;"
01.12.2016;2;0;7019;9546;6;19.9;1;;;;0;0;Land- und Strassenkarten;4.709.147;0;;;zeitPos=1|sortNr=5;19.9;1;0;";;;;"
01.12.2016;2;0;7019;9546;8;20.9;1;;;;0;0;Land- und Strassenkarten;7.611.374;0;;;zeitPos=1|sortNr=3;20.9;1;0;";;;;"
01.12.2016;2;0;7019;9546;11;30.9;1;;;;0;0;Land- und Strassenkarten;3.420.663;0;;;zeitPos=1|sortNr=2;30.9;1;0;";;;;"
01.12.2016;2;0;7087;9403;1;8;1;;;;0;0;Kunsteisbahn, Einzeleintritte;;0;;;zeitPos=1|sortNr=1;8;1;0;";;;;"
01.12.2016;2;0;7087;9403;3;5;1;;;;0;0;Kunsteisbahn, Einzeleintritte;;0;;;zeitPos=1|sortNr=3;5;1;0;";;;;"
01.12.2016;2;0;7087;9403;4;64;10;;;;0;0;Kunsteisbahn, Einzeleintritte;;0;;;zeitPos=1|sortNr=3;64;10;0;";;;;"
01.12.2016;2;0;7087;9404;1;111;1;;;;0;0;Kunsteisbahn, Saisonabonnemente;;0;;;zeitPos=1|sortNr=4;111;1;0;";;;;"
01.12.2016;2;0;7087;9404;2;61;1;;;;0;0;Kunsteisbahn, Saisonabonnemente;;0;;;zeitPos=1|sortNr=5;61;1;0;";;;;"
01.12.2016;2;0;7087;9404;3;61;1;;;;0;0;Kunsteisbahn, Saisonabonnemente;;0;;;zeitPos=1|sortNr=6;61;1;0;";;;;"
01.12.2016;2;0;7092;9452;5;103;1;;;;0;0;Theater, Einzeleintritte;;0;;;zeitPos=1|sortNr=1;103;1;0;";;;;"
01.12.2016;2;0;7092;9452;9;92;1;;;;0;0;Theater, Einzeleintritte;;0;;;zeitPos=1|sortNr=3;92;1;0;";;;;"
01.12.2016;2;0;7092;9452;17;138;1;;;;0;0;Theater, Einzeleintritte;;0;;;zeitPos=1|sortNr=5;138;1;0;";;;;"
01.12.2016;2;0;7092;9452;18;119;1;;;;0;0;Theater, Einzeleintritte;;0;;;zeitPos=1|sortNr=4;119;1;0;";;;;"
01.12.2016;2;0;7092;9452;31;105;1;;;;0;0;Theater, Einzeleintritte;;0;;;zeitPos=1|sortNr=2;105;1;0;";;;;"
01.12.2016;2;0;7092;9453;5;827;11;;;;0;0;Theater, Abonnemente;;0;;;zeitPos=1|sortNr=8;813;11;0;";;;;"
01.12.2016;2;0;7092;9453;12;909;11;;;;0;0;Theater, Abonnemente;;0;;908.- stimmt , dieses Abo ist günstiger geworden.;zeitPos=1|sortNr=6;909;11;0;";;;;"
01.12.2016;2;0;7092;9453;14;715;11;;;;0;0;Theater, Abonnemente;;0;;;zeitPos=1|sortNr=7;715;11;0;";;;;"
01.12.2016;2;0;7092;9453;15;1538;10;;;;0;0;Theater, Abonnemente;;0;;;zeitPos=1|sortNr=9;1538;10;0;";;;;"
01.12.2016;2;0;7104;6071;6;9.1;1;;;;0;0;Verbandstoff;405220;0;;;zeitPos=1|sortNr=3;9.1;1;0;";;;;"
01.12.2016;2;0;7104;6073;1;8.3;1;;;;0;0;Schnellverbände;522420;0;;;zeitPos=1|sortNr=4;8.3;1;0;";;;;"
01.12.2016;2;0;7104;6073;2;8.3;1;;;;0;0;Schnellverbände;524620;0;;;zeitPos=1|sortNr=5;8.3;1;0;";;;;"
01.12.2016;2;0;7104;6074;3;8.2;1;;;;0;0;Elastische Binden;;0;;;zeitPos=1|sortNr=6;8.2;1;0;";;;;"
01.12.2016;2;0;7104;6074;4;7.5;1;;;;0;0;Elastische Binden;;0;;;zeitPos=1|sortNr=7;7.5;1;0;";;;;"
01.12.2016;2;0;7104;6075;4;16.5;1;;;;0;0;Fiebermesser;;0;;;zeitPos=1|sortNr=8;16.5;1;0;";;;;"
01.12.2016;2;0;7104;6075;5;70;1;;;;0;0;Fiebermesser;;0;;;zeitPos=1|sortNr=9;70;1;0;";;;;"
01.12.2016;2;0;7104;6076;1;14.9;10;;;;0;0;Präservative;8117210;0;;;zeitPos=1|sortNr=2;14.9;10;0;";;;;"
01.12.2016;2;0;7104;6076;2;15.9;10;;;;0;0;Präservative;8117189;0;;;zeitPos=1|sortNr=1;15.9;10;0;";;;;"
01.12.2016;2;0;7104;12024;3;7.9;100;;;;0;0;Toiletten- und Handseife, Stücke;8420;0;;;zeitPos=1|sortNr=10;7.9;100;0;";;;;"
01.12.2016;2;0;7104;12025;11;8.9;300;;;;0;0;Toiletten- und Handseife, flüssig;;0;;;zeitPos=1|sortNr=11;8.9;300;0;";;;;"
01.12.2016;2;0;7104;12027;5;14.8;200;;;;0;0;Duschmittel, auch in Nachfüllbeuteln;633;0;;;zeitPos=1|sortNr=13;14.8;200;0;";;;;"
01.12.2016;2;0;7104;12027;6;19.6;200;;;;0;0;Duschmittel, auch in Nachfüllbeuteln;;0;;;zeitPos=1|sortNr=14;19.6;200;0;";;;;"
01.12.2016;2;0;7104;12027;9;16.9;400;;;;0;0;Duschmittel, auch in Nachfüllbeuteln;;0;;;zeitPos=1|sortNr=15;16.9;400;0;";;;;"
01.12.2016;2;0;7104;12027;10;22;200;;;;0;0;Duschmittel, auch in Nachfüllbeuteln;;0;;;zeitPos=1|sortNr=12;22;200;0;";;;;"
01.12.2016;2;0;7104;12041;1;8.9;250;;;;0;0;Haarshampoo;;0;;neue Qualität;zeitPos=1|sortNr=16;8.9;250;0;";;;;"
01.12.2016;2;0;7104;12041;2;13.9;250;;;;0;0;Haarshampoo;;0;;;zeitPos=1|sortNr=17;13.9;250;0;";;;;"
01.12.2016;2;0;7104;12041;3;20.7;150;;;;0;0;Haarshampoo;;0;;;zeitPos=1|sortNr=18;20.7;150;0;";;;;"
01.12.2016;2;0;7104;12041;4;15.9;200;;;;0;0;Haarshampoo;;0;;;zeitPos=1|sortNr=19;15.9;200;0;";;;;"
01.12.2016;2;0;7104;12042;7;14.5;150;;;;0;0;Haarstylingschaum und -gel;;0;;;zeitPos=1|sortNr=20;14.5;150;0;";;;;"
01.12.2016;2;0;7104;12042;11;11.8;150;;;;0;0;Haarstylingschaum und -gel;;0;;;zeitPos=1|sortNr=21;11.8;150;0;";;;;"
01.12.2016;2;0;7104;12043;7;26.5;150;;;;0;0;Haarfärbemittel;;0;;;zeitPos=1|sortNr=22;26.5;150;0;";;;;"
